SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionVillage,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto
7467,7466,2017-12-29,"Village Headmen","Village Results",Bathkomp,Koroma,Saio,I,808080,121,,Yes,Final/Certified,
7560,7559,2017-12-29,"Village Headmen","Village Results","Five Mile",Kamara,Francis,I,808080,119,,Yes,Final/Certified,
7834,7832,2017-12-29,"Village Headmen","Village Results",Russel,Gordon,Paul,I,808080,111,,Yes,Final/Certified,
7445,7444,2017-12-29,"Village Headmen","Village Results",Adonkia,Kamara,"Mohamed Gibrilla",I,808080,111,,No,Final/Certified,
7687,7686,2017-12-29,"Village Headmen","Village Results","Kosso Middle Town",Williams,"Modupeh Onesimus",I,808080,110,,Yes,Final/Certified,
7714,7713,2017-12-29,"Village Headmen","Village Results",Lakka,Kamara,"Reeked Egon",I,808080,110,,No,Final/Certified,
7650,7648,2017-12-29,"Village Headmen","Village Results","Kattu Town",Kamara,"Foday Solomon",I,808080,109,,Yes,Final/Certified,
7795,7794,2017-12-29,"Village Headmen","Village Results",Mambo,Bendu,"Abdulai Walter",I,808080,105,,No,Final/Certified,
7569,7568,2017-12-29,"Village Headmen","Village Results",Fogbo,Bangura,Saidu,I,808080,105,,No,Final/Certified,
7610,7608,2017-12-29,"Village Headmen","Village Results",Hamilton,Turay,Emmanuel,I,808080,104,,No,Final/Certified,
7773,7772,2017-12-29,"Village Headmen","Village Results",Makomba,Bangura,"Saidu Adard",I,808080,104,,Yes,Final/Certified,
7741,7740,2017-12-29,"Village Headmen","Village Results",Macdonald,Browne,Franklin,I,808080,104,,No,Final/Certified,
7813,7811,2017-12-29,"Village Headmen","Village Results","Masorie 2",Kamara,"Mohamed Okala",I,808080,102,,No,Final/Certified,
7558,7556,2017-12-29,"Village Headmen","Village Results","Five Mile",Davies,"Emmanuel Jr.",I,808080,101,,No,Final/Certified,
7838,7837,2017-12-29,"Village Headmen","Village Results",Russel,Bangura,Idrissa,I,808080,101,,No,Final/Certified,
7727,7725,2017-12-29,"Village Headmen","Village Results",Mabrown,Sesay,Salia,I,808080,98,,No,Final/Certified,
7652,7651,2017-12-29,"Village Headmen","Village Results","Kattu Town",Kamara,Brima,I,808080,98,,No,Final/Certified,
7853,7852,2017-12-29,"Village Headmen","Village Results",Tombo,Kargbo,Lamin,I,808080,98,,No,Final/Certified,
7722,7720,2017-12-29,"Village Headmen","Village Results",Maboikandor,Conteh,Amadu,I,808080,97,,Yes,Final/Certified,
7469,7468,2017-12-29,"Village Headmen","Village Results",Bathkomp,Kamara,"Amidu Kekuda",I,808080,94,,No,Final/Certified,
7724,7723,2017-12-29,"Village Headmen","Village Results",Maboikandor,Kamara,Isatu,I,808080,91,,No,Final/Certified,
