SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
34720,34719,2018-03-07,Councillors,"Ward Results","Ward 015",Gaima,Patrick,I,808080,509,8.19,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32573,32572,2018-03-07,Councillors,"Ward Results","Ward 341",Kalie,Ibrahim,NGC,4B0082,506,6.43,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33384,33383,2018-03-07,Councillors,"Ward Results","Ward 031",Kougbaka,John,NGC,4B0082,504,5.19,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33119,33118,2018-03-07,Councillors,"Ward Results","Ward 351",Mac-Caine,Ndohiji,APC,FF333C,500,16.12,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30047,30046,2018-03-07,Councillors,"Ward Results","Ward 281",Kemoh,Jafaru,APC,FF333C,500,9.58,No,Provisional,male-blank-profile-photo.png,"First Round"
30063,30062,2018-03-07,Councillors,"Ward Results","Ward 273",Tomboi,John,APC,FF333C,500,7.69,No,Provisional,male-blank-profile-photo.png,"First Round"
32895,32894,2018-03-07,Councillors,"Ward Results","Ward 102",Sesay,Alusine,I,808080,497,10.76,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34569,34568,2018-03-07,Councillors,"Ward Results","Ward 003",Bundor,Tamba,NGC,4B0082,496,10.47,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30836,30835,2018-03-07,Councillors,"Ward Results","Ward 142",Kuyateh,Alhaji,SLPP,009900,496,19.53,No,Provisional,male-blank-profile-photo.png,"First Round"
32833,32832,2018-03-07,Councillors,"Ward Results","Ward 324",Mansaray,Mohamed,I,808080,492,9.09,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32633,32632,2018-03-07,Councillors,"Ward Results","Ward 345",Fallay,Albert,NPD,3498DB,489,9.38,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30504,30503,2018-03-07,Councillors,"Ward Results","Ward 130",Kamra,Lahai,APC,FF333C,487,28.05,No,Provisional,male-blank-profile-photo.png,"First Round"
32437,32436,2018-03-07,Councillors,"Ward Results","Ward 328",Garrick,John,I,808080,487,11.41,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32731,32730,2018-03-07,Councillors,"Ward Results","Ward 316",Bah,Abie,NGC,4B0082,483,12.21,No,Final/Certified,female-profile-blank-photo.png,"First Round"
